Probeset_ID,Symbol,Time,Values,LombScargle_P,LombScargle_Q,LombScargle_period,LombScargle_phase,Tissue
10396652,Hspa2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,546.4;450.0;499.3;465.9;422.8;336.4;343.4;383.7;465.9;434.7;472.4;459.5;485.7;440.8;453.2;386.4;341.1;375.8;375.8;408.4;437.7;502.8;535.2;527.8,0.00286,1.0,22.291,16.01,scn_2014
10606989,Tsc22d3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,208.5;223.5;195.9;177.8;184.0;163.6;186.6;190.5;223.5;269.4;234.6;212.9;209.9;204.2;204.2;181.5;162.5;158.0;194.5;202.8;231.3;262.1;234.6;229.7,0.00298,1.0,23.064,15.28,scn_2014
10593756,Chrna3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,89.5;109.4;100.0;118.1;171.7;162.5;156.9;236.2;145.4;155.8;132.0;82.9;95.3;102.1;87.1;105.0;139.5;168.2;172.9;180.3;141.4;171.7;121.4;101.4,0.00325,1.0,24.783,6.71,scn_2014
10431711,Slc2a13,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,731.1;794.5;711.1;857.4;834.0;998.7;1062.9;1212.6;893.8;991.8;816.8;636.4;668.1;794.5;789.0;805.6;845.6;1005.6;1179.4;1163.2;958.0;1055.6;778.1;561.8,0.00357,1.0,23.064,6.82,scn_2014
10338652,,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,36.9;28.9;45.7;50.7;30.1;35.6;57.0;32.8;36.1;51.1;55.9;33.9;27.7;47.0;33.2;24.0;42.3;49.0;33.2;29.1;68.3;36.9;31.6;43.5,0.00369,1.0,7.012,8.45,scn_2014
10409278,Nfil3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,329.4;348.2;327.2;305.3;294.9;220.4;205.6;212.9;251.4;269.4;262.1;288.8;278.9;303.1;331.7;262.1;253.2;239.5;200.0;225.0;234.6;284.8;324.9;273.2,0.00386,1.0,23.064,18.57,scn_2014
10500272,Gm129,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,119.7;114.9;100.7;149.5;150.5;175.3;205.6;190.5;212.9;149.5;130.1;67.8;137.6;120.6;153.7;146.4;185.3;208.5;215.8;246.2;212.9;149.5;159.1;132.9,0.00387,1.0,23.892,6.69,scn_2014
10574027,Mt1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,6096.9;6225.0;5889.2;6012.9;6400.0;5889.2;6625.7;6355.8;7200.4;8100.8;7250.5;7052.2;6225.0;6012.9;5971.4;5768.0;5649.3;6139.3;6625.7;6671.8;7250.5;8386.5;7454.3;6579.9,0.00394,1.0,23.892,10.76,scn_2014
10441680,Pde10a,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,236.2;288.8;313.8;311.7;341.1;375.8;301.0;360.5;292.8;286.8;225.0;177.8;290.8;290.8;307.4;309.5;329.4;375.8;365.5;365.5;309.5;301.0;226.6;239.5,0.00396,1.0,24.783,3.9,scn_2014
10426891,Mettl7a1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,262.1;273.2;237.8;251.4;197.2;221.9;207.1;214.4;212.9;241.2;253.2;239.5;258.5;242.8;242.8;209.9;208.5;190.5;207.1;223.5;244.5;254.9;232.9;275.1,0.00424,1.0,22.291,16.03,scn_2014
10375432,C030019I05Rik,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,239.5;246.2;277.0;260.3;278.9;305.3;273.2;294.9;277.0;251.4;256.7;207.1;231.3;225.0;236.2;226.6;294.9;280.9;296.9;286.8;273.2;258.5;244.5;241.2,0.00437,1.0,25.742,4.51,scn_2014
10559790,Zim1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,645.3;672.7;767.4;677.4;839.8;778.1;716.0;767.4;654.3;589.7;636.4;524.2;561.8;658.9;677.4;731.1;816.8;851.5;756.8;726.0;585.6;561.8;614.8;654.3,0.00441,1.0,23.892,3.62,scn_2014
10417734,Nr1d2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,606.3;527.8;585.6;606.3;569.6;606.3;762.1;736.2;627.7;623.3;569.6;524.2;535.2;531.5;538.9;569.6;672.7;658.9;711.1;658.9;619.0;577.6;485.7;513.4,0.00444,1.0,21.568,6.79,scn_2014
10440216,Epha6,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,221.9;265.7;220.4;217.3;215.8;208.5;200.0;184.0;159.1;176.5;175.3;193.2;208.5;239.5;277.0;234.6;208.5;202.8;202.8;190.5;168.2;195.9;155.8;176.5,0.00446,1.0,25.742,22.5,scn_2014
10381939,Tanc2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,465.9;479.0;520.5;542.6;524.2;538.9;506.3;527.8;513.4;465.9;469.1;414.1;479.0;506.3;509.8;527.8;527.8;516.9;527.8;550.2;524.2;465.9;434.7;428.7,0.00449,1.0,24.783,3.61,scn_2014
10450369,Hspa1a,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,294.9;265.7;236.2;220.4;212.9;162.5;167.0;140.4;187.9;225.0;236.2;327.2;269.4;184.0;221.9;182.8;175.3;138.5;171.7;161.3;172.9;212.9;322.7;338.7,0.00451,1.0,23.064,16.11,scn_2014
10485117,Creb3l1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,98.6;114.9;104.2;144.4;179.0;158.0;152.6;179.0;131.0;132.0;127.5;118.1;114.1;100.7;104.2;129.2;175.3;168.2;186.6;180.3;135.7;159.1;113.3;132.0,0.00474,1.0,24.783,5.49,scn_2014
10571312,Dusp4,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,61.6;61.1;59.0;118.1;103.5;95.3;111.0;139.5;88.9;87.7;81.8;54.0;67.4;75.8;81.2;111.7;107.9;106.4;129.2;131.0;92.7;75.8;69.7;72.7,0.00475,1.0,23.064,5.46,scn_2014
10352954,Hmgb3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,296.9;262.1;288.8;322.7;350.6;373.2;422.8;502.8;411.2;378.4;292.8;383.7;307.4;305.3;324.9;365.5;422.8;397.2;414.1;440.8;405.6;440.8;331.7;322.7,0.00486,1.0,23.064,9.04,scn_2014
10535904,Hsph1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1503.2;1703.0;1667.9;1534.8;1422.1;1600.0;1171.3;1179.4;1187.6;1055.6;1326.9;1187.6;1656.4;1472.3;1633.6;1492.9;1578.0;1246.7;1326.9;1221.0;931.8;951.4;1155.1;1588.9,0.00492,1.0,23.892,21.95,scn_2014
10462621,I830012O16Rik,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,190.5;111.7;124.0;95.3;87.7;66.4;96.6;97.9;137.6;154.8;209.9;132.9;138.5;100.7;100.0;75.3;73.7;62.4;66.0;114.1;152.6;161.3;116.5;143.4,0.00498,1.0,22.291,15.24,scn_2014
10465604,Stip1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1345.4;1622.3;1492.9;1472.3;1354.8;1482.5;1131.4;1163.2;1077.8;1139.2;1373.7;1229.5;1452.0;1354.8;1452.0;1383.3;1345.4;1131.4;1155.1;1171.3;1048.3;1085.3;1179.4;1412.3,0.00498,1.0,23.064,21.6,scn_2014
10583347,Chordc1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,828.2;839.8;767.4;701.3;677.4;513.4;606.3;623.3;602.1;602.1;668.1;751.6;772.7;686.9;721.0;672.7;645.3;538.9;479.0;577.6;469.1;597.9;668.1;906.3,0.00502,1.0,23.892,17.65,scn_2014
10426284,Acr,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,161.3;174.1;186.6;198.6;212.9;226.6;253.2;215.8;202.8;198.6;181.5;179.0;154.8;191.9;177.8;168.2;198.6;244.5;251.4;193.2;223.5;195.9;181.5;175.3,0.00517,1.0,24.783,5.5,scn_2014
10572089,Nat2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,25.9;22.1;24.3;21.6;22.5;21.5;21.8;24.1;23.3;33.0;29.3;28.5;24.1;25.0;24.8;21.6;20.4;21.5;18.9;26.2;26.6;28.7;29.1;32.1,0.00531,1.0,24.783,15.35,scn_2014
10340597,,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,701.3;756.8;845.6;816.8;772.7;869.4;783.5;663.5;731.1;569.6;619.0;623.3;716.0;716.0;828.2;887.7;772.7;677.4;682.1;658.9;682.1;577.6;602.1;736.2,0.00547,1.0,22.291,22.96,scn_2014
10584549,Scn3b,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,324.9;363.0;358.0;400.0;348.2;394.5;343.4;341.1;329.4;280.9;299.0;286.8;343.4;363.0;397.2;378.4;373.2;327.2;363.0;348.2;334.0;294.9;299.0;305.3,0.00562,1.0,23.892,2.05,scn_2014
10383564,Fn3k,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,316.0;311.7;288.8;322.7;273.2;292.8;265.7;258.5;265.7;260.3;271.3;254.9;318.2;296.9;320.4;305.3;296.9;284.8;282.8;262.1;251.4;269.4;265.7;269.4,0.00565,1.0,25.742,22.21,scn_2014
10415052,Mmp14,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,130.1;176.5;142.4;164.7;140.4;131.0;132.9;118.1;112.5;108.7;112.5;126.6;141.4;132.9;169.3;160.2;141.4;136.6;154.8;117.3;110.2;123.1;110.2;118.1,0.00568,1.0,25.742,23.32,scn_2014
10393509,Usp36,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,131.0;153.7;154.8;149.5;155.8;169.3;167.0;176.5;167.0;161.3;141.4;150.5;138.5;147.4;154.8;167.0;172.9;172.9;180.3;189.2;170.5;169.3;165.9;137.6,0.00571,1.0,23.892,5.81,scn_2014
10343856,,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,887.7;906.3;931.8;925.4;951.4;1085.3;857.4;767.4;834.0;800.0;686.9;731.1;834.0;857.4;881.5;944.8;1085.3;875.4;900.0;800.0;751.6;746.4;762.1;762.1,0.00577,1.0,23.892,1.86,scn_2014
10442752,0610007P22Rik,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,190.5;207.1;195.9;201.4;217.3;201.4;218.9;239.5;234.6;223.5;223.5;231.3;193.2;208.5;197.2;191.9;190.5;202.8;201.4;218.9;220.4;221.9;241.2;215.8,0.00577,1.0,27.902,10.03,scn_2014
10377439,Per1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,170.5;215.8;201.4;246.2;241.2;262.1;275.1;254.9;246.2;231.3;198.6;156.9;164.7;228.2;193.2;247.9;249.7;280.9;355.5;301.0;301.0;292.8;215.8;225.0,0.00586,1.0,25.742,4.89,scn_2014
10399680,Cys1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,165.9;141.4;150.5;150.5;138.5;131.0;151.6;142.4;154.8;162.5;176.5;163.6;155.8;137.6;129.2;135.7;133.8;114.1;130.1;150.5;156.9;177.8;181.5;163.6,0.0059,1.0,23.892,14.3,scn_2014
10603469,Rbm3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1026.7;783.5;789.0;834.0;789.0;951.4;1147.2;1221.0;1299.6;1255.3;1026.7;672.7;938.3;1012.6;881.5;875.4;1070.3;984.9;1345.4;1373.7;1492.9;1345.4;1155.1;900.0,0.00643,1.0,23.064,10.07,scn_2014
