test,period,psd
1,48.0,355.7180922306112
1,32.0,17597.736810725983
1,24.0,61569.06345624296
1,19.200000000000003,20885.326850823138
1,16.0,4365.997294994971
1,13.714285714285715,1553.6164124689808
1,12.0,424.19655881614904
1,10.666666666666666,90.4190387745593
1,9.600000000000001,536.8663461521683
1,8.727272727272728,9683.465984261169
1,8.0,10409.374339092672
1,7.384615384615385,959.5555901554362
1,6.857142857142858,2974.5403715141565
1,6.4,2386.5024015780878
1,6.0,1536.7369923060298
1,5.647058823529412,5452.124742257603
1,5.333333333333333,6506.2345950805975
1,5.052631578947369,5129.840150837153
1,4.800000000000001,19799.612512890282
1,4.571428571428571,5638.80993932695
1,4.363636363636364,803.6484784116576
1,4.173913043478261,13.187066007363287
1,4.0,2681.603814665201
1,3.8400000000000007,3714.758982762117
1,3.6923076923076925,4452.961765852386
1,3.5555555555555554,3057.9637565238686
1,3.428571428571429,4239.1444969115255
1,3.3103448275862073,2764.192626702314
1,3.2,152.0424094012511
1,3.0967741935483875,1855.5980680263763
1,3.0,6292.380227931325
1,2.909090909090909,431.28130900992034
1,2.823529411764706,5543.9357070264705
1,2.742857142857143,4460.931873437484
1,2.6666666666666665,3004.284450686893
1,2.5945945945945947,8523.87447218975
1,2.5263157894736845,10369.211619711468
1,2.4615384615384617,213.1401959003242
1,2.4000000000000004,173.92543099906547
1,2.3414634146341466,1739.8999706069594
1,2.2857142857142856,2295.735200519387
1,2.2325581395348837,291.42991134663214
1,2.181818181818182,1398.0373287416708
1,2.1333333333333333,2238.206274023276
1,2.0869565217391304,632.9234796975148
1,2.042553191489362,749.0303765934877
1,2.0,3844.889081653239
1,1.959183673469388,11847.741192745234
1,1.9200000000000004,20745.918179883243
1,1.8823529411764706,12508.388674103919
1,1.8461538461538463,4160.044852265827
1,1.8113207547169814,240.73631899827365
1,1.7777777777777777,583.585666597618
1,1.7454545454545456,6596.806191843009
1,1.7142857142857144,3259.290265580352
1,1.6842105263157894,933.7821877148408
1,1.6551724137931036,558.7740867835809
1,1.6271186440677967,600.0073734079098
1,1.6,2674.5933944724343
1,1.5737704918032789,2368.798463488102
1,1.5483870967741937,4545.999583703679
1,1.5238095238095237,7931.409497648185
1,1.5,4486.275413745098
1,1.476923076923077,898.1785225140438
1,1.4545454545454546,570.5815380185381
1,1.4328358208955225,1767.6754815358195
1,1.411764705882353,4814.0296637752435
1,1.391304347826087,1404.091123018383
1,1.3714285714285714,980.2049132669363
1,1.3521126760563382,1355.7932814324793
1,1.3333333333333333,125.79725968579189
1,1.315068493150685,1698.8856180634712
1,1.2972972972972974,69.00455267599459
1,1.28,703.5378978853608
1,1.2631578947368423,378.32574309369204
1,1.246753246753247,811.5073052720572
1,1.2307692307692308,4518.124945660455
1,1.2151898734177216,2608.2991789707607
1,1.2000000000000002,12297.177859982114
1,1.1851851851851851,16014.948426941686
1,1.1707317073170733,3947.5210444505096
1,1.1566265060240966,8823.555249443552
1,1.1428571428571428,3471.9870301151304
1,1.1294117647058823,896.371521080152
1,1.1162790697674418,705.7542666868854
1,1.103448275862069,2159.7166887881135
1,1.090909090909091,4650.522958601249
1,1.0786516853932586,4198.6010788583
1,1.0666666666666667,977.5396982045459
1,1.054945054945055,902.5612435777805
1,1.0434782608695652,6373.24185750642
1,1.032258064516129,6156.929559621486
1,1.021276595744681,5119.900546484263
1,1.0105263157894737,7592.666226484392
1,1.0,441.24752476180413
2,40.0,1595.3374049324595
2,30.0,54330.32779679963
2,24.0,82115.91855254238
2,20.0,6686.861443631423
2,17.142857142857142,805.6692708850267
2,15.0,2863.6871524903745
2,13.333333333333334,597.7852231825746
2,12.0,2573.5957290438573
2,10.90909090909091,3039.9637391806405
2,10.0,1626.5387243629932
2,9.23076923076923,3509.5187170041395
2,8.571428571428571,2467.8692409127893
2,8.0,771.6070130478208
2,7.5,1282.3234738535457
2,7.0588235294117645,188.36224218867696
2,6.666666666666667,661.6507433957223
2,6.315789473684211,2521.7189154187313
2,6.0,501.8062129694011
2,5.714285714285714,2104.956909997768
2,5.454545454545455,432.0892949061344
2,5.217391304347826,6299.011073309925
2,5.0,2726.920761224028
2,4.8,1745.9430877288578
